WARN  2018-04-05 13:48:30,566 SVG or GIF symbol can't be load: B                                                         =>[ForkJoinPool.commonPool-worker-2] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,566 SVG or GIF symbol can't be load: 2                                                         =>[ForkJoinPool.commonPool-worker-1] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,566 SVG or GIF symbol can't be load: WP                                                        =>[ForkJoinPool.commonPool-worker-3] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,567 SVG or GIF symbol can't be load: 3                                                         =>[ForkJoinPool.commonPool-worker-1] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,567 SVG or GIF symbol can't be load: 6                                                         =>[ForkJoinPool.commonPool-worker-2] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,567 SVG or GIF symbol can't be load: 2R                                                        =>[AWT-EventQueue-0] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,568 SVG or GIF symbol can't be load: 7                                                         =>[ForkJoinPool.commonPool-worker-2] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,568 SVG or GIF symbol can't be load: 4                                                         =>[ForkJoinPool.commonPool-worker-1] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,568 SVG or GIF symbol can't be load: 2W                                                        =>[ForkJoinPool.commonPool-worker-3] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,569 SVG or GIF symbol can't be load: 5                                                         =>[ForkJoinPool.commonPool-worker-1] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,569 SVG or GIF symbol can't be load: 2B                                                        =>[ForkJoinPool.commonPool-worker-2] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,568 SVG or GIF symbol can't be load: S                                                         =>[AWT-EventQueue-0] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,570 SVG or GIF symbol can't be load: G                                                         =>[ForkJoinPool.commonPool-worker-2] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,569 SVG or GIF symbol can't be load: 10                                                        =>[ForkJoinPool.commonPool-worker-1] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,569 SVG or GIF symbol can't be load: X                                                         =>[ForkJoinPool.commonPool-worker-3] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,571 SVG or GIF symbol can't be load: 11                                                        =>[ForkJoinPool.commonPool-worker-1] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,570 SVG or GIF symbol can't be load: GU                                                        =>[ForkJoinPool.commonPool-worker-2] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,570 SVG or GIF symbol can't be load: T                                                         =>[AWT-EventQueue-0] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,571 SVG or GIF symbol can't be load: BG                                                        =>[ForkJoinPool.commonPool-worker-2] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,571 SVG or GIF symbol can't be load: 12                                                        =>[ForkJoinPool.commonPool-worker-1] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,571 SVG or GIF symbol can't be load: C                                                         =>[ForkJoinPool.commonPool-worker-3] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,572 SVG or GIF symbol can't be load: 0                                                         =>[ForkJoinPool.commonPool-worker-1] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,572 SVG or GIF symbol can't be load: BR                                                        =>[ForkJoinPool.commonPool-worker-2] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,572 SVG or GIF symbol can't be load: U                                                         =>[AWT-EventQueue-0] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,573 SVG or GIF symbol can't be load: BP                                                        =>[ForkJoinPool.commonPool-worker-2] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,573 SVG or GIF symbol can't be load: 1                                                         =>[ForkJoinPool.commonPool-worker-1] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,572 SVG or GIF symbol can't be load: E                                                         =>[ForkJoinPool.commonPool-worker-3] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,573 SVG or GIF symbol can't be load: UB                                                        =>[ForkJoinPool.commonPool-worker-1] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,573 SVG or GIF symbol can't be load: 2U                                                        =>[ForkJoinPool.commonPool-worker-2] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,573 SVG or GIF symbol can't be load: 2G                                                        =>[AWT-EventQueue-0] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,574 SVG or GIF symbol can't be load: W                                                         =>[ForkJoinPool.commonPool-worker-2] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,573 SVG or GIF symbol can't be load: UR                                                        =>[ForkJoinPool.commonPool-worker-1] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,573 SVG or GIF symbol can't be load: GW                                                        =>[ForkJoinPool.commonPool-worker-3] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,575 SVG or GIF symbol can't be load: UP                                                        =>[ForkJoinPool.commonPool-worker-1] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,574 SVG or GIF symbol can't be load: WB                                                        =>[ForkJoinPool.commonPool-worker-2] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,574 SVG or GIF symbol can't be load: R                                                         =>[AWT-EventQueue-0] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,575 SVG or GIF symbol can't be load: GP                                                        =>[ForkJoinPool.commonPool-worker-3] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,576 SVG or GIF symbol can't be load: RG                                                        =>[AWT-EventQueue-0] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,576 SVG or GIF symbol can't be load: 8                                                         =>[ForkJoinPool.commonPool-worker-3] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,576 SVG or GIF symbol can't be load: 15                                                        =>[ForkJoinPool.commonPool-worker-2] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,577 SVG or GIF symbol can't be load: 2B                                                        =>[ForkJoinPool.commonPool-worker-1] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,577 SVG or GIF symbol can't be load: 9                                                         =>[ForkJoinPool.commonPool-worker-3] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,577 SVG or GIF symbol can't be load: G                                                         =>[ForkJoinPool.commonPool-worker-1] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,577 SVG or GIF symbol can't be load: RW                                                        =>[AWT-EventQueue-0] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,577 SVG or GIF symbol can't be load: 16                                                        =>[ForkJoinPool.commonPool-worker-2] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,578 SVG or GIF symbol can't be load: RP                                                        =>[AWT-EventQueue-0] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,578 SVG or GIF symbol can't be load: GU                                                        =>[ForkJoinPool.commonPool-worker-1] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,577 SVG or GIF symbol can't be load: B                                                         =>[ForkJoinPool.commonPool-worker-3] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,579 SVG or GIF symbol can't be load: BG                                                        =>[ForkJoinPool.commonPool-worker-1] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,579 SVG or GIF symbol can't be load: 2R                                                        =>[AWT-EventQueue-0] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,578 SVG or GIF symbol can't be load: 2                                                         =>[ForkJoinPool.commonPool-worker-2] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,580 SVG or GIF symbol can't be load: S                                                         =>[AWT-EventQueue-0] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,579 SVG or GIF symbol can't be load: BR                                                        =>[ForkJoinPool.commonPool-worker-1] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,579 SVG or GIF symbol can't be load: 6                                                         =>[ForkJoinPool.commonPool-worker-3] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,580 SVG or GIF symbol can't be load: BP                                                        =>[ForkJoinPool.commonPool-worker-1] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,580 SVG or GIF symbol can't be load: T                                                         =>[AWT-EventQueue-0] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,580 SVG or GIF symbol can't be load: 3                                                         =>[ForkJoinPool.commonPool-worker-2] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,581 SVG or GIF symbol can't be load: U                                                         =>[AWT-EventQueue-0] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,581 SVG or GIF symbol can't be load: WU                                                        =>[ForkJoinPool.commonPool-worker-1] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,581 SVG or GIF symbol can't be load: 7                                                         =>[ForkJoinPool.commonPool-worker-3] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,582 SVG or GIF symbol can't be load: WP                                                        =>[ForkJoinPool.commonPool-worker-1] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,582 SVG or GIF symbol can't be load: 2G                                                        =>[AWT-EventQueue-0] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,583 SVG or GIF symbol can't be load: R                                                         =>[AWT-EventQueue-0] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,581 SVG or GIF symbol can't be load: 4                                                         =>[ForkJoinPool.commonPool-worker-2] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,583 SVG or GIF symbol can't be load: RG                                                        =>[AWT-EventQueue-0] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,582 SVG or GIF symbol can't be load: 2W                                                        =>[ForkJoinPool.commonPool-worker-1] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,582 SVG or GIF symbol can't be load: GW                                                        =>[ForkJoinPool.commonPool-worker-3] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,584 SVG or GIF symbol can't be load: X                                                         =>[ForkJoinPool.commonPool-worker-1] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,584 SVG or GIF symbol can't be load: 2U                                                        =>[AWT-EventQueue-0] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,583 SVG or GIF symbol can't be load: 5                                                         =>[ForkJoinPool.commonPool-worker-2] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,585 SVG or GIF symbol can't be load: W                                                         =>[AWT-EventQueue-0] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,584 SVG or GIF symbol can't be load: C                                                         =>[ForkJoinPool.commonPool-worker-1] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,584 SVG or GIF symbol can't be load: GP                                                        =>[ForkJoinPool.commonPool-worker-3] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,585 SVG or GIF symbol can't be load: E                                                         =>[ForkJoinPool.commonPool-worker-1] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,585 SVG or GIF symbol can't be load: WB                                                        =>[AWT-EventQueue-0] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,585 SVG or GIF symbol can't be load: 10                                                        =>[ForkJoinPool.commonPool-worker-2] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,586 SVG or GIF symbol can't be load: 0                                                         =>[ForkJoinPool.commonPool-worker-1] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,586 SVG or GIF symbol can't be load: UB                                                        =>[ForkJoinPool.commonPool-worker-3] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,587 SVG or GIF symbol can't be load: 1                                                         =>[ForkJoinPool.commonPool-worker-1] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,586 SVG or GIF symbol can't be load: 11                                                        =>[ForkJoinPool.commonPool-worker-2] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,587 SVG or GIF symbol can't be load: UR                                                        =>[ForkJoinPool.commonPool-worker-3] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,587 SVG or GIF symbol can't be load: 12                                                        =>[ForkJoinPool.commonPool-worker-2] ManaSymbols.lambda$loadSymbolImages$0 
WARN  2018-04-05 13:48:30,587 SVG or GIF symbol can't be load: UP                                                        =>[ForkJoinPool.commonPool-worker-3] ManaSymbols.lambda$loadSymbolImages$0 
INFO  2018-04-05 13:48:31,812 Loading plugins...                                                                         =>[AWT-EventQueue-0] Plugins.loadPlugins 
INFO  2018-04-05 13:48:32,007 Done.                                                                                      =>[AWT-EventQueue-0] Plugins.loadPlugins 
INFO  2018-04-05 13:48:35,263 Client start up time: 8 seconds                                                            =>[AWT-EventQueue-0] MageFrame.lambda$new$2 
FATAL 2018-04-05 13:48:35,277 Config error                                                                               =>[AWT-EventQueue-0] Config.<clinit> 
java.io.FileNotFoundException: config\config.properties (The system cannot find the path specified)
	at java.io.FileInputStream.open0(Native Method)
	at java.io.FileInputStream.open(FileInputStream.java:195)
	at java.io.FileInputStream.<init>(FileInputStream.java:138)
	at mage.client.util.Config.<clinit>(Config.java:63)
	at mage.client.dialog.ConnectDialog.showDialog(ConnectDialog.java:112)
	at mage.client.MageFrame.lambda$new$2(MageFrame.java:322)
	at java.awt.event.InvocationEvent.dispatch(InvocationEvent.java:311)
	at java.awt.EventQueue.dispatchEventImpl(EventQueue.java:758)
	at java.awt.EventQueue.access$500(EventQueue.java:97)
	at java.awt.EventQueue$3.run(EventQueue.java:709)
	at java.awt.EventQueue$3.run(EventQueue.java:703)
	at java.security.AccessController.doPrivileged(Native Method)
	at java.security.ProtectionDomain$JavaSecurityAccessImpl.doIntersectionPrivilege(ProtectionDomain.java:80)
	at java.awt.EventQueue.dispatchEvent(EventQueue.java:728)
	at java.awt.EventDispatchThread.pumpOneEventForFilters(EventDispatchThread.java:205)
	at java.awt.EventDispatchThread.pumpEventsForFilter(EventDispatchThread.java:116)
	at java.awt.EventDispatchThread.pumpEventsForHierarchy(EventDispatchThread.java:105)
	at java.awt.EventDispatchThread.pumpEvents(EventDispatchThread.java:101)
	at java.awt.EventDispatchThread.pumpEvents(EventDispatchThread.java:93)
	at java.awt.EventDispatchThread.run(EventDispatchThread.java:82)
FATAL 2018-04-05 13:48:35,281 MAGE Client UI error                                                                       =>[AWT-EventQueue-0] EDTExceptionHandler.handle 
